threshold,precision,recall,f1,tp,fp,tn,fn,tpr,fpr
0.14300000000000002,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.14400000000000002,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.145,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.146,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.147,0.8,0.9882352941176471,0.8842105263157894,84,21,44,1,0.9882352941176471,0.3230769230769231
0.148,0.8076923076923077,0.9882352941176471,0.8888888888888888,84,20,45,1,0.9882352941176471,0.3076923076923077
0.149,0.8076923076923077,0.9882352941176471,0.8888888888888888,84,20,45,1,0.9882352941176471,0.3076923076923077
0.15,0.8076923076923077,0.9882352941176471,0.8888888888888888,84,20,45,1,0.9882352941176471,0.3076923076923077
0.151,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.152,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.153,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.154,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.155,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.156,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.157,0.8155339805825242,0.9882352941176471,0.8936170212765957,84,19,46,1,0.9882352941176471,0.2923076923076923
0.158,0.8235294117647058,0.9882352941176471,0.8983957219251337,84,18,47,1,0.9882352941176471,0.27692307692307694
0.159,0.8235294117647058,0.9882352941176471,0.8983957219251337,84,18,47,1,0.9882352941176471,0.27692307692307694
0.16,0.8235294117647058,0.9882352941176471,0.8983957219251337,84,18,47,1,0.9882352941176471,0.27692307692307694
0.161,0.8235294117647058,0.9882352941176471,0.8983957219251337,84,18,47,1,0.9882352941176471,0.27692307692307694
0.162,0.8235294117647058,0.9882352941176471,0.8983957219251337,84,18,47,1,0.9882352941176471,0.27692307692307694
0.163,0.8316831683168316,0.9882352941176471,0.9032258064516129,84,17,48,1,0.9882352941176471,0.26153846153846155
0.164,0.8316831683168316,0.9882352941176471,0.9032258064516129,84,17,48,1,0.9882352941176471,0.26153846153846155
0.165,0.8316831683168316,0.9882352941176471,0.9032258064516129,84,17,48,1,0.9882352941176471,0.26153846153846155
0.166,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.167,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.168,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.169,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
0.17,0.84,0.9882352941176471,0.9081081081081082,84,16,49,1,0.9882352941176471,0.24615384615384617
